YouTube Comments,upvotes,Comment Date
"I fell bad for the Wolfsburg keeper though.
Imagine having a perfect game for the forty five minutes and then in the second half this happens.",76,3 years ago
"I would compare Lewandowski's 5th goal to the birth of Christ. It will forever be cemented in football history. It's impeccable. Visually, technically it is perfection. You cannot surpass that, it's impossible to the average human.",7,2 years ago (edited)
Every wolfsburg fans nightmare forever. Lewangoalski. They werent even easy chances. 2-3 superb shots and power finishes.,1,2 years ago (edited)
that lost goal is more than enough for anyone to be impressed but 4 right behind that one??? TF what a legend,314,6 years ago
"the man, the goals, the record, the time, Pep's face and the commentary are legendary.",202,2 years ago
He deserves ballon d'or not just for this but hue everytime performance he's the best,1,1 year ago
"aren't the announcers saying ""just over 10 minutes"" for the whole time?",244,7 years ago
"Kylian Mbappe: 4 Goals in 14 Minutes!!
Lewandowski: hold my Beer",234,4 years ago (edited)
"This is the best single match performance, by one player, of all time.",2,2 years ago
Can't believe this is six years ago. Wow! Time really flies and this still lit,1,1 year ago
No one has ever scored 5 goals in 9 minutes in the history of soccer and never will.          Robert Lewandowski is the first and he is definitely the best soccer player in the world for quite some time now. I just can't understand all these people on here giving thumbs down for this video. This is insane.,449,3 years ago
"Someone has to Praise Gotze for his assists.
Excellent creator this Gotze is!",230,5 years ago
"Funny thing is I watched the first half and it was 0-1 Wolfsburg, I turned it back on the hour mark and I had to double check the score actually said 5-1. Not only that I missed the greatest solo sub performance of a generation lol",2,1 year ago
"Nasza polska duma 🇵🇱
Jestem dumny, że mogę żyć w czasach najlepszego zawodnika w historii Polski oraz jednego z najlepszych piłkarzy w historii",2,2 months ago (edited)
one of the football's history greatest moments,72,3 years ago
"9:19 “you just cannot be that good!” 
Lewandowski: try me",173,5 years ago
"The best 
️",3,1 year ago
"Not only did he score 5 goals in under 10 minutes, he did them beautifully too!",11,1 year ago
I'm gonna tell my kids in 20 years that I saw this live,219,4 years ago
' i dont know how many offers of marriage lewandowski is going to have but pep guardiola is going to be one of them' lol,432,4 years ago
RESPECT levandowski RESPECT ,3,2 years ago
The Special was how he scored the goals. One goal more beautyful than the other.,2,1 year ago
"And Anna said,don’t come back home  before 5",114,3 years ago
4 goals in 5 mins and 40 seconds. Insane.,70,2 years ago
and this last goal was most beautyful,1,2 years ago
this is the finest performance of a striker in any match,2,1 year ago
"Who is here after
Robert Lewandowski best in the world by fifa?",131,3 years ago
My favorite soccer player is Robert Levendowski,43,7 years ago
Lewy Legend,2,2 months ago
"On an injured ankle, 1 substitution (not including his own), two fouls, and celebrations yet Lewy somehow managed to score 5 in 9 mins",2,2 years ago (edited)
I missed two goals just because i had to pee,93,6 years ago (edited)
wow 16 th video of the day I love this channel keep up the good work bundesliga ,71,7 years ago
I'm here after he joined barcelona ,4,1 year ago
He actually did that ,3,1 year ago
Kick off glitch,135,6 years ago
Whenever i have a bad day and feel like something is impossible i just come back to this video ,73,3 years ago
The Pole who became a LEGEND of the Bundesliga.,1,1 year ago
according to the back number,4,1 year ago
One of the best strikers there have ever been,138,2 years ago
"Top Polish Player 
🇵🇱",84,3 years ago
"I don't like the Yankees and I don't like Bayern, but this thing of skill is like nothing else. Amazing!",2,1 year ago
Welcome to FC BARCELONA Lewa ,12,1 year ago
"Dante and Luiz Gustavo were like: ""Germany, is that you?"".",156,3 years ago
"9:56 that's how you drop the mic in football


Btw i think this is my most liked comment on YouTube so... thank you football fans, all the best! :)",693,5 years ago (edited)
Wolfsburg had the best defense in the Bundesliga at the time.,6,1 year ago
"I play table tennis - everyday, or at least 6 of 7 days in a week. There are moments, when you simply get angry because of ""suckerpunches"" of your opponent - he/she scores by the net, or the very edge if the table, you can't do anything about it - you get angry, and your focus may go down to the lowest point, when you lose even the simplest points you supposed to score. 

Well that's what happened here. Only not with 1 vs 1 player, but with the whole two teams - where one felt like sharks that felt the blood within few km, and also their fans were cheering hard for them, and the second team - even that they are great players, worth millions for each, simply lost it all, felt angry, sad, and broken at all. 

And Lewandowski and his supporters simply showed them how to play till the end.",1,4 months ago
"Final score: Brazil 1-7 germany
After the game, luis gustavo and dante went to the pub and talked about the game
Dante: i think that was the worst game i’ve ever played
Lg: me too, probably i wouldn’t see worst in the future
Dante: definitely
After 1 year, lewandowski scored 5 goals in 9 minutes",1.3K,6 years ago
don't forget people wolfsburg was 2nd place at this time,79,7 years ago
Robert Lewandowski The  Best Player in  the  World *,8,1 year ago
he makes it look so easy,2,1 year ago
"Good commentator, was expecting a German speaking one considering its the Bundesliga channel (y)",1.5K,6 years ago
I was lucky enough to watch it live on television with my granddad.,39,3 years ago
"Obsessed
️",3,1 year ago
One of Lewandowski finest performances. A space of 10 minutes and 3 goals...? Wait...Whaaaaat...? Jazda husaria!!,4,2 years ago (edited)
"the legend tells that this match never ended, he is scoring until now, for the rest of his life, every 2 minutes, amen",62,3 years ago
"Messi is my soccer idol but you cannot truly ignore Ronaldo, Lewandowski, etc. We may not be able to watch Pele or Maradona live anymore but we live in an era of great footballers. the beautiful game at its best.",47,7 years ago
When i miss him i watch this clip,2,2 years ago
"Welcome to Barcelona Legend 
️",2,1 year ago
"Who’s here after Bayern won the Championsleague 
️",3.4K,3 years ago
The defenders was like more tired than Lewandowski because they need to go to celebrate with Lewandowski five times in 9 mins,76,2 years ago
jak mam trochę słabszy dzień to odpalam ten film i już się mordka cieszy :),3,1 year ago
"2 years already? Wow. I must say, Gözte made great part of this possible",348,6 years ago
"Greetings from Poland!! 
️🇵🇱",267,5 years ago
"""This is not the first time you watch it.""",4,2 years ago (edited)
"Welcome to Barcelona, Lewy",5,1 year ago
Oglądam to przynajmniej raz w miesiącu. Cudo.,174,3 years ago
"Lewandoski doesn't play for Bayern, Bayern plays for him",806,6 years ago
The all-time champion! ,2,1 year ago
Mądrość i piękno ducha w czystej postaci.,5,2 years ago
Last goal is a stunner,163,5 years ago
Levandovski king ,2,1 year ago
Some legend believe he's still scoring until today .,2,1 year ago
"I'm watching it everytime my mood goes bad. I saw this show 10 times this month and it always helps so I don't need a doctor. Thank you, Lewy!",115,3 years ago
"Well, it seems that mid week games just arent Wolfsburg's thing is it? Lost 5-1 again this year around.",266,7 years ago
"Feat so good, even the mic dropped after the fifth goal!",1,1 year ago
"Commentator is amazing
Who is he?",3,2 years ago
"I counted 12 touches, 5 were goals",54,7 years ago
Congratulations on winning the Best award Lewandowski!,56,3 years ago
9 minutes of madness,2,1 year ago
"He did it, he nailed it, he crushed it.",2,1 year ago
"I'm so lucky that I watched this game live show.

I was so stunned first 3 goals and 4th volley shot and 5th scissors kick. Unfortunately, another 5th goal rewind scene is not in this video, It aimed the edge of the net, and sniped the camera. Front side of camera took a shot for a moment. It was looked like a missile.

I also remembered that Lewandowski had one more chance beside this time. If that chance also succeeded, Not 5 goals in 9 mins, but 6 goals in 10 mins was to be that Lewy's legendary record in history.

I'm so proud of you Lewy, watching this video for every month.
Thank u Big fan from South Korea.",748,6 years ago (edited)
9:31 this is the best piece of commentary lol,41,4 years ago
"""Plays the one two with the post ""
Always gets me
Buh I'm sure he intended it ",3,2 years ago
"Bayern Loosing,
Bayern: I hate do do this to you but it must be done, Release the Lewandowski",3,1 year ago
"How To Let Your Fans Sing The Team Song 5 Times In 9 Minutes?





Buy Lewandowski",339,6 years ago
The most priceless 10 minutes in football history...  ,92,6 years ago
From in Poland,3,2 years ago
"Counting the effective playing time, without breaks, it was 5 goals in 4 minutes. Unbelievable, impossible. I know I will never see anything like this again in my lifetime.",1,3 days ago
who is watching this in 2019 and still in awe of Roberts FILTHY goals,114,5 years ago
This never gets old,93,6 years ago
"From ""best in the business"" to ""best in the world""(only for 1-2 years but still outclassing ronaldo-messi is the biggest deal in football)",4,1 year ago
came here for anniversary 8 years,2,6 months ago
"Everyone dude perfect has so many world records

Lewandowski 4 world records in 9 minutes",162,3 years ago
I can't help watching this match again and again. Robert is one of the best players in the world ever.,50,2 years ago
"Mr Guardiola we are losing, what do we do?
Guardiola: Release the Lewandowski.",3,2 years ago
This player will become a legend of the football game.,1,1 year ago
Lewandowski: The man who can turn a live broadcast into a highlight reel.,53,2 years ago
Wolfsburg fan from England here; Lewa is just exceptional.,38,3 years ago
We need to understand the immense contribution Thomas Muller brings too......legendary mid,2,1 year ago
Legend!,3,2 years ago
this channel is sick I know it's the official Bundesliga channel,166,7 years ago
The one the only RRRRRRRRobert Lewandowski. Should win the Ballon d'Or for sure,40,3 years ago
Each goal gets better as he scores them,3,1 year ago
This 9 min clip is like a highlights video of a full match,3,1 year ago
Finally won his UCL. So happy for him.,52,3 years ago
"Who's here after Bayern butchered Barca in cl quarter finals
️",3.6K,3 years ago
"""OHHH YOU JUST CAN'T DO IT! YOU JUST CANNOT BE THAT GOOD!""",2,2 years ago
I never seen Messi even come close to this,26,2 years ago
I'm just here to see this again to check if that's the same guy in the world cup.,676,5 years ago
Who is here After his 4 goals in 14 minutes,743,4 years ago
Nigdy nie przestane do tego wracać,2,5 months ago
Spectacular ,3,1 year ago
"Yes Lewandoski scored 5, but the contributions of Müller, Costa and Götze cannot be ignored.",504,4 years ago
Who is here after watching Bayern vs Barca (8-2) match?,1.4K,3 years ago
"How many time have you watched it?
Me: yes",2,7 months ago
Robert is the king big king Polisz KING  ,2,1 year ago
LEWANDOWSKI PIŁKARZEM ROKU 2020  FIFA  GRATULACJE,72,3 years ago
This guy deserves a ballon d'or,79,2 years ago
5 goals in 9 minutes is incredible.,1,7 months ago
what a wonderful striker..!!1,4,2 years ago
Lewandowski Polish Pride!,158,7 years ago
"Nicely done bracie, greetings from hungary",130,4 years ago
Best striker of the year 2021!,2,2 years ago
Life is that what happens between a goal from Lewandowski and another.,1,1 year ago
It's a shame that Robert was not given the Golden Ball(,51,3 years ago
This is the greatest feat anybody has ever pulled off from the striker position. Absolutely in a world of his own.,42,2 years ago
"Caligiuri scored 0-1 to Wolfsburg
Lewandowski be like : 'fine i'll do it myself""
FT : 5-1",3,2 years ago
Still watching 2019 October 4,94,4 years ago
9:56 RIP microphone.,37,3 years ago
As a proud Pole (a Polish person) this is one of the most proud moments in the countries history and should be mandatory to watch in schools for every Pole at least once a month,1,2 years ago
"Lewandowski is underrated, a football all time legend",2,2 years ago
who's before beating Gerd Muller's record? RL9 the GOAT.,77,2 years ago
"PSG - We have the Best Time MBAPPE 4 GOALS 13 MINUTES

LEWANDOWSKI: HOLD MY BEER",2K,5 years ago
Legendowski,2,2 years ago
"I was on deployment during this game 
 thank you lewy for your performances in a Bayern jersey",2,2 years ago
"I am an INTER fan, absolute fan on Messi (best of all times), really appreciate Cristiano's sports career... But this year, no one else but this one Robert Lewandowski deserve more the Ballon d'Or. 

If Lewa should not be crowned as the best player of the year, and by a distance, then, in my opinion... FIFA reveals itself only as a financial circus, therefore football loses its  last hint of authenticity, as a sports-loving organization which it should be by definition.",146,3 years ago
most underrated and the best player in the world,57,3 years ago
Kto tutaj po przeprowadzce Lewego do FC Barcelony :)? Who is here after Lewy's move to FC Barcelona ?,7,1 year ago
"9 minutes.
Only 6 touches for 5 amazing goals!!!
What an unbelievable record!",2,2 years ago
Who is here after Lewy's wonderful rabona assist?,172,3 years ago (edited)
Lewandowski is the best center forward no doubt. And they destroyed barca 8-2,48,3 years ago
"Pep Guardiola is the man after all , Messi , lewandowski , haland... All of them took place under him ....",2,1 year ago
He’s in Barcelona now,6,1 year ago
"Lewandowski's Number=9
Miracle=9 minute
Views on this video=9M",94,4 years ago
2019 i dale nie mogę uwierzyć w to co zobaczyłem 🇵🇱,68,4 years ago
"Just checking in, 23rd time I have watched this video.",4,2 years ago
Lewa is a one of the best finishers ive ever seen ! but ill take LS9. goals he scored for Liverpool and Barcelona was fun to watch,1,2 years ago
"King Midas: everything I touch turns to gold 
Lewandowski: same",109,4 years ago (edited)
"Before first half ended: Wolfsburg fans be like ''Yes we're finally going to win.'' 30 mins later, never mind what tf is going on.",80,5 years ago
"I always love to come back here and watch it when i have bad mood. You're the best, Robert",,1 year ago
"Kochamy Cie Robet!.
Masz wszstkie szlachetne cechy Jestes 100% czlowieki. Przynosisz nam chwale i godnosc. Chcemy malutiego Robercika Jr. 🇵🇱
️
Jestes jak miod na serce a mialam taki nedzy nastroj ale Teraz juz nie.",2,1 year ago (edited)
Entire Poland is waiting for him to have a son. I mean... someone has to play for our National Team 25 years from now.,64,3 years ago
"6:12
The Guy Besides Robben: How many goals are now?
Robben: 4 
The Guy: I just go for a Minute to the Bathroom and now it's 4?",63,3 years ago
BEAST,2,1 year ago
He's the master class ,1,9 months ago
"Are those 97 dislikes Dortmund fans? Seriously, who could NOT like this?",66,7 years ago
He is underrated,80,6 years ago
legendgoalski,1,10 months ago
underrated comentator,,1 year ago
Fajnie wrócić tutaj i popatrzeć na polaka rodaka :D,209,6 years ago
"Lewandowski scores five goals in 9 minutes
Commentator: A space of 10 minutes and three goals!!!",405,4 years ago
pepe's face after the 5th goal was amazing,2,1 year ago
"""I don't know how many offers of marriage Robert Lewandowski's gonna have, but Pep Guardiola is gonna be one of them"" ",3,2 months ago
